,Class,Class X,Class Y,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Bld X,Bld Y,Dpt,Bld capacity,Day,Start,Stop,Notes,Unit Dept,Start Mtg Dt,End Mtg Dt,Session ID,Session Desc,Session Start Dt,Session End Dt,School Drop Dt,Last Reg Dt,Eligible Grade Dt,Last Drop w/o W Dt,Last Drop with W Dt,XRG,Non XRG,Bld.1,class_code,dpt_address,bld_address
21,CAS AA404 A1,42.3484255,-71.1078164,Sem Families,Kibria,4,Independent,5,4,SOC,252,42.34954,-71.10491,,,Thu,08:00:00,10:45:00,"Mts w/CAS SO404 Mts w/GRS SO804 Mts w/GRS AA804, Class Full",,2023-09-07,2023-12-07,,,,,,,,,,0,5,MUG,AA,"138 Mountfort St, Brookline, MA 02446",96-100 Cummington Mall
22,CAS AA313 A1,42.3484255,-71.1078164,Pol of the Wire,Glick,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancelled,Cancelled,PHO,AA,"138 Mountfort St, Brookline, MA 02446",
23,CAS AA207 A1,42.3484255,-71.1078164,Race&Ethnic Rel,Saleem,4,Lecture,48,50,WED,130,42.34987,-71.10085,,,"Tue,Thu",15:30:00,16:45:00,Mts w/CAS SO207,20229.0,2023-09-05,2023-12-12,,,,,,,,,,0,48,PLS,AA,"138 Mountfort St, Brookline, MA 02446",2 Silber Way
24,CAS AA114 E1,42.3484255,-71.1078164,Kongo to Cuba,Becker,0,Discussion,7,7,IEC,B01,42.35106,-71.11525,,,Wed,10:10:00,11:00:00,"Mts w/CAS AH114, Class Full",,2023-09-05,2023-12-13,,,,,,,,,,0,7,PRB,AA,"138 Mountfort St, Brookline, MA 02446",888 Commonwealth Avenue
25,CAS AA207 A4,42.3484255,-71.1078164,Race&Ethnic Rel,Saleem,0,Discussion,14,14,CAS,222,42.35083,-71.10515,,,Fri,14:30:00,15:20:00,"Mts w/CAS SO207, Class Full",20229.0,2023-09-08,2023-12-08,,,,,,,,,,0,14,PSY,AA,"138 Mountfort St, Brookline, MA 02446",685-725 Commonwealth Avenue
26,CAS AA103 A1,42.3484255,-71.1078164,Intro Af/Am Lit,Boelcskevy,4,Independent,15,15,PSY,B37,42.34939,-71.10395,,,"Tue,Thu",11:00:00,12:15:00,"Mts w/CAS EN129, Class Full",20229.0,2023-09-05,2023-12-12,,,,,,,,,,0,15,PTH,AA,"138 Mountfort St, Brookline, MA 02446",64-72-86 Cummington Mall
27,CAS AA519 A1,42.3484255,-71.1078164,Inequalty&Am Po,Einstein,4,Independent,1,2,PLS,312B,45.35062,-71.10398,,,Thu,08:00:00,10:45:00,"WebReg Restricted, Mts w/CAS PO519",,2023-09-07,2023-12-07,,,,,,,,,,0,1,REL,AA,"138 Mountfort St, Brookline, MA 02446",232 Bay State Road
28,CAS AH111 A1,42.3499108,-71.1065953,Anc to MED Art,Martin,4,Lecture,180,180,COM,101,42.34906,-71.10246,,,"Tue,Thu",11:00:00,12:15:00,Class Full,20208.0,2023-09-05,2023-12-13,,,,,,,,,,0,180,SAR,AH,725 Commonwealth Avenue,640 Commonwealth Avenue
29,CAS AA132 A1,42.3484255,-71.1078164,Prison Writing,Owen,4,Independent,10,10,MCS,B33,42.34919,-71.10421,,,"Tue,Thu",14:00:00,15:15:00,"Mts w/CAS EN132, Class Closed",20229.0,2023-09-05,2023-12-12,,,,,,,,,,0,10,SCI,AA,"138 Mountfort St, Brookline, MA 02446",111 Cummington Mall
30,CAS AA112 A1,42.3484255,-71.1078164,Hist Black Stdy,Staff,4,Independent,Cancelled,Cancelled,,,,,,,"Mon,Wed,Fri",09:05:00,09:55:00,,,2023-09-06,2023-12-13,,,,,,,,,,Cancelled,Cancelled,SHA,AA,"138 Mountfort St, Brookline, MA 02446",
