,Class,Class X,Class Y,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Bld X,Bld Y,Dpt,Bld capacity,Day,Start,Stop,Notes,Unit Dept,Start Mtg Dt,End Mtg Dt,Session ID,Session Desc,Session Start Dt,Session End Dt,School Drop Dt,Last Reg Dt,Eligible Grade Dt,Last Drop w/o W Dt,Last Drop with W Dt,XRG,Non XRG,Bld.1,class_code,dpt_address,bld_address
716,CAS BN410EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
717,CAS BN411EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
718,CAS BN412EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
719,CAS BN413EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
720,CAS BN414EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
721,CAS BN415EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
722,CAS BN416EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
723,CAS BN417EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
724,CAS BN418EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
725,CAS BN419EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
726,CAS BN420EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
727,CAS BN421EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
728,CAS BN422EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
729,CAS BN423EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
730,CAS BN424EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
731,CAS BN425EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
732,CAS BN426EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
733,CAS BN427EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
734,CAS BN428EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
735,CAS BN429EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
736,CAS BN430EBN,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BN,,
737,CAS BN999EBN,,,Internatnl Crse,,var,Independent,3,999,,,,,,,Arranged,,,WebReg Restricted,,2023-08-29,2023-12-16,SABL,STUDY ABROAD BERLIN,2023-08-29,2023-12-16,2023-11-10,2023-08-28,2023-12-07,2023-10-02,2023-11-09,0,3,,BN,,
738,CAS BO301EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
739,CAS BO302EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
740,CAS BO303EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
741,CAS BO304EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
742,CAS BO305EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
743,CAS BO306EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
744,CAS BO307EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
745,CAS BO308EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
746,CAS BO309EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
747,CAS BO311EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
748,CAS BO312EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
749,CAS BO410EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
750,CAS BO420EBO,,,Internatnl Crse,,var,Independent,0,999,,,,,,,Arranged,,,WebReg Restricted,,2023-09-05,2023-12-12,,,,,,,,,,0,0,,BO,,
751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,CAS CC101 A1,42.3499108,-71.1065953,Ancient Worlds,Esposito,4,Lecture,229,272,CAS,TSAI,42.35083,-71.10515,,,Tue,09:30:00,10:45:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,229,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
753,CAS CC101 B1,42.3499108,-71.1065953,Ancient Worlds,Martin,0,Discussion,16,16,CAS,114A,42.35083,-71.10515,,,"Tue,Thu",08:00:00,09:15:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,16,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
754,CAS CC101 B2,42.3499108,-71.1065953,Ancient Worlds,Esposito,0,Discussion,15,16,CAS,114B,42.35083,-71.10515,,,"Tue,Thu",11:00:00,12:15:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,15,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
755,CAS CC101 B3,42.3499108,-71.1065953,Ancient Worlds,Klancer,0,Discussion,14,16,CAS,114A,42.35083,-71.10515,,,"Tue,Thu",11:00:00,12:15:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,14,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
756,CAS CC101 B4,42.3499108,-71.1065953,Ancient Worlds,Klein,0,Discussion,14,16,STH,625,42.35073,-71.10766,,,"Tue,Thu",11:00:00,12:15:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,14,,CC,725 Commonwealth Avenue,745 Commonwealth Avenue
757,CAS CC101 B5,42.3499108,-71.1065953,Ancient Worlds,Klein,0,Discussion,16,16,CAS,114A,42.35083,-71.10515,,,"Tue,Thu",12:30:00,13:45:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,16,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
758,CAS CC101 B6,42.3499108,-71.1065953,Ancient Worlds,Vahamikos,0,Discussion,13,16,CAS,212,42.35083,-71.10515,,,"Tue,Thu",12:30:00,13:45:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,13,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
759,CAS CC101 B7,42.3499108,-71.1065953,Ancient Worlds,Prentice,0,Discussion,13,16,CAS,114B,42.35083,-71.10515,,,"Tue,Thu",14:00:00,15:15:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,13,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
760,CAS CC101 B8,42.3499108,-71.1065953,Ancient Worlds,Lior,0,Discussion,15,16,CAS,114B,42.35083,-71.10515,,,"Tue,Thu",12:30:00,13:45:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,15,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
761,CAS CC101 B9,42.3499108,-71.1065953,Ancient Worlds,Vahamikos,0,Discussion,15,16,CAS,114A,42.35083,-71.10515,,,"Tue,Thu",15:30:00,16:45:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,15,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
762,CAS CC101 C1,42.3499108,-71.1065953,Ancient Worlds,Gapotchenko,0,Discussion,11,16,CAS,114A,42.35083,-71.10515,,,"Mon,Wed,Fri",09:05:00,09:55:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,11,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
763,CAS CC101 C2,42.3499108,-71.1065953,Ancient Worlds,Voekel,0,Discussion,13,16,CAS,114B,42.35083,-71.10515,,,"Mon,Wed,Fri",10:10:00,11:00:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,13,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
764,CAS CC101 C3,42.3499108,-71.1065953,Ancient Worlds,Gapotchenko,0,Discussion,9,16,CAS,204A,42.35083,-71.10515,,,"Mon,Wed,Fri",10:10:00,11:00:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,9,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
765,CAS CC101 C4,42.3499108,-71.1065953,Ancient Worlds,Klancer,0,Discussion,17,16,CAS,114A,42.35083,-71.10515,,,"Mon,Wed,Fri",11:15:00,12:05:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,17,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
766,CAS CC101 C5,42.3499108,-71.1065953,Ancient Worlds,Creighton,0,Discussion,15,16,IEC,B11,42.35106,-71.11525,,,"Mon,Wed,Fri",12:20:00,13:10:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,15,,CC,725 Commonwealth Avenue,888 Commonwealth Avenue
767,CAS CC101 C6,42.3499108,-71.1065953,Ancient Worlds,Kleiman,0,Discussion,9,16,FLR,207,42.35015,-71.11169,,,"Mon,Wed,Fri",09:05:00,09:55:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,9,,CC,725 Commonwealth Avenue,808 Commonwealth Avenue
768,CAS CC101 C7,42.3499108,-71.1065953,Ancient Worlds,Eckel,0,Discussion,17,16,CAS,114A,42.35083,-71.10515,,,"Mon,Wed,Fri",13:25:00,14:15:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,17,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
769,CAS CC101 C8,42.3499108,-71.1065953,Ancient Worlds,Tabatabai,0,Discussion,7,12,CAS,114A,42.35083,-71.10515,,,Wed,14:30:00,17:15:00,Class Closed,20060.0,2023-09-06,2023-12-06,,,,,,,,,,0,7,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
770,CAS CC101 C9,42.3499108,-71.1065953,Ancient Worlds,Tbd,0,Discussion,Cancelled,Cancelled,,,,,,,"Mon,Wed,Fri",15:35:00,16:25:00,,20060.0,2023-09-06,2023-12-11,,,,,,,,,,Cancelled,Cancelled,,CC,725 Commonwealth Avenue,
771,CAS CC101 DX,42.3499108,-71.1065953,Ancient Worlds,Staff,0,Discussion,0,16,,,,,,,Arranged,,,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,0,,CC,725 Commonwealth Avenue,
772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,CAS CC111 A1,42.3499108,-71.1065953,Origins,Kurtz,4,Lecture,89,105,CAS,211,42.35083,-71.10515,,,"Tue,Thu",14:00:00,15:15:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,89,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
774,CAS CC111 B1,42.3499108,-71.1065953,Origins,Kurtz,0,Discussion,13,16,CAS,318,42.35083,-71.10515,,,Fri,10:10:00,11:00:00,Class Closed,20060.0,2023-09-08,2023-12-08,,,,,,,,,,0,13,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
775,CAS CC111 B2,42.3499108,-71.1065953,Origins,Kurtz,0,Discussion,15,16,BRB,121,42.34868,-71.10133,,,Fri,11:15:00,12:05:00,Class Closed,20060.0,2023-09-08,2023-12-08,,,,,,,,,,0,15,,CC,725 Commonwealth Avenue,5 Cummington Mall
776,CAS CC111 B3,42.3499108,-71.1065953,Origins,Kurtz,0,Discussion,10,14,CAS,114B,42.35083,-71.10515,,,Fri,12:20:00,13:10:00,Class Closed,20060.0,2023-09-08,2023-12-08,,,,,,,,,,0,10,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
777,CAS CC111 B4,42.3499108,-71.1065953,Origins,Stevens,0,Discussion,13,17,CDS,363,42.3506,-71.10281,,,Fri,13:25:00,14:15:00,Class Closed,20060.0,2023-09-08,2023-12-08,,,,,,,,,,0,13,,CC,725 Commonwealth Avenue,645-655 Commonwealth Avenue
778,CAS CC111 B5,42.3499108,-71.1065953,Origins,Becker,0,Discussion,12,16,CAS,310,42.35083,-71.10515,,,Fri,14:30:00,15:20:00,Class Closed,20060.0,2023-09-08,2023-12-08,,,,,,,,,,0,12,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
779,CAS CC111 C1,42.3499108,-71.1065953,Origins,Stevens,0,Discussion,14,16,CAS,B25A,42.35083,-71.10515,,,Fri,10:10:00,11:00:00,Class Closed,20060.0,2023-09-08,2023-12-08,,,,,,,,,,0,14,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
780,CAS CC111 C2,42.3499108,-71.1065953,Origins,,0,Discussion,0,16,CDS,163,42.3506,-71.10281,,,Fri,11:15:00,12:05:00,Class Closed,20060.0,2023-09-08,2023-12-08,,,,,,,,,,0,0,,CC,725 Commonwealth Avenue,645-655 Commonwealth Avenue
781,CAS CC111 C3,42.3499108,-71.1065953,Origins,Becker,0,Discussion,12,16,STH,319,42.35073,-71.10766,,,Fri,12:20:00,13:10:00,Class Closed,20060.0,2023-09-08,2023-12-08,,,,,,,,,,0,12,,CC,725 Commonwealth Avenue,745 Commonwealth Avenue
782,CAS CC111 C4,42.3499108,-71.1065953,Origins,,0,Discussion,0,16,CGS,117A,42.35146,-71.11465,,,Fri,13:25:00,14:15:00,Class Closed,20060.0,2023-09-08,2023-12-08,,,,,,,,,,0,0,,CC,725 Commonwealth Avenue,871 Commonwealth Avenue
783,CAS CC111 C5,42.3499108,-71.1065953,Origins,,0,Discussion,0,16,CGS,117A,42.35146,-71.11465,,,Fri,14:30:00,15:20:00,Class Closed,20060.0,2023-09-08,2023-12-08,,,,,,,,,,0,0,,CC,725 Commonwealth Avenue,871 Commonwealth Avenue
784,CAS CC111 L1,42.3499108,-71.1065953,Origins,Stevens,0,Lab,14,16,SCI,307,42.3489,-71.10016,,,Mon,10:10:00,11:55:00,Class Closed,20060.0,2023-09-11,2023-12-11,,,,,,,,,,0,14,,CC,725 Commonwealth Avenue,590-596 Commonwealth Avenue
785,CAS CC111 L2,42.3499108,-71.1065953,Origins,Gagnon,0,Lab,12,16,SCI,307,42.3489,-71.10016,,,Mon,12:20:00,14:05:00,Class Closed,20060.0,2023-09-11,2023-12-11,,,,,,,,,,0,12,,CC,725 Commonwealth Avenue,590-596 Commonwealth Avenue
786,CAS CC111 L3,42.3499108,-71.1065953,Origins,Gagnon,0,Lab,13,16,SCI,307,42.3489,-71.10016,,,Mon,14:30:00,16:15:00,Class Closed,20060.0,2023-09-11,2023-12-11,,,,,,,,,,0,13,,CC,725 Commonwealth Avenue,590-596 Commonwealth Avenue
787,CAS CC111 L4,42.3499108,-71.1065953,Origins,,0,Lab,0,16,SCI,307,42.3489,-71.10016,,,Mon,16:30:00,18:15:00,Class Closed,20060.0,2023-09-11,2023-12-11,,,,,,,,,,0,0,,CC,725 Commonwealth Avenue,590-596 Commonwealth Avenue
788,CAS CC111 L5,42.3499108,-71.1065953,Origins,Gagnon,0,Lab,12,16,SCI,307,42.3489,-71.10016,,,Wed,10:10:00,11:55:00,Class Closed,20060.0,2023-09-06,2023-12-06,,,,,,,,,,0,12,,CC,725 Commonwealth Avenue,590-596 Commonwealth Avenue
789,CAS CC111 L6,42.3499108,-71.1065953,Origins,Staro,0,Lab,14,16,SCI,307,42.3489,-71.10016,,,Wed,12:20:00,14:05:00,Class Closed,20060.0,2023-09-06,2023-12-06,,,,,,,,,,0,14,,CC,725 Commonwealth Avenue,590-596 Commonwealth Avenue
790,CAS CC111 L7,42.3499108,-71.1065953,Origins,Staro,0,Lab,15,16,SCI,307,42.3489,-71.10016,,,Wed,14:30:00,16:15:00,Class Closed,20060.0,2023-09-06,2023-12-06,,,,,,,,,,0,15,,CC,725 Commonwealth Avenue,590-596 Commonwealth Avenue
791,CAS CC111 L8,42.3499108,-71.1065953,Origins,Staro,0,Lab,9,16,SCI,307,42.3489,-71.10016,,,Wed,16:30:00,18:15:00,Class Closed,20060.0,2023-09-06,2023-12-06,,,,,,,,,,0,9,,CC,725 Commonwealth Avenue,590-596 Commonwealth Avenue
792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,CAS CC201 A1,42.3499108,-71.1065953,Renaissance,Tabatabai,4,Lecture,73,86,CAS,TSAI,42.35083,-71.10515,,,Tue,12:30:00,13:45:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,73,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
794,CAS CC201 B1,42.3499108,-71.1065953,Renaissance,Tbd,0,Discussion,Cancelled,Cancelled,,,,,,,"Tue,Thu",09:30:00,10:45:00,,20060.0,2023-09-05,2023-12-12,,,,,,,,,,Cancelled,Cancelled,,CC,725 Commonwealth Avenue,
795,CAS CC201 B2,42.3499108,-71.1065953,Renaissance,Tabatabai,0,Discussion,12,16,EIB,106,42.3507,-71.09992,,,"Tue,Thu",11:00:00,12:15:00,Class Closed,20204.0,2023-09-05,2023-12-12,,,,,,,,,,0,12,,CC,725 Commonwealth Avenue,143 Bay State Road
796,CAS CC201 B3,42.3499108,-71.1065953,Renaissance,Ricks,0,Discussion,16,16,EIB,106,42.3507,-71.09992,,,"Tue,Thu",14:00:00,15:15:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,16,,CC,725 Commonwealth Avenue,143 Bay State Road
797,CAS CC201 C1,42.3499108,-71.1065953,Renaissance,Hamill,0,Discussion,16,16,CAS,212,42.35083,-71.10515,,,"Mon,Wed,Fri",10:10:00,11:00:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,16,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
798,CAS CC201 C2,42.3499108,-71.1065953,Renaissance,Tbd,0,Discussion,0,16,CAS,212,42.35083,-71.10515,,,"Mon,Wed,Fri",11:15:00,12:05:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,0,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
799,CAS CC201 C3,42.3499108,-71.1065953,Renaissance,Walsh,0,Discussion,15,16,CAS,212,42.35083,-71.10515,,,"Mon,Wed,Fri",12:20:00,13:10:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,15,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
800,CAS CC201 C4,42.3499108,-71.1065953,Renaissance,Carberry,0,Discussion,14,16,IEC,B11,42.35106,-71.11525,,,"Mon,Wed,Fri",14:30:00,15:20:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,14,,CC,725 Commonwealth Avenue,888 Commonwealth Avenue
801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,CAS CC221 A1,42.3499108,-71.1065953,Making Modern,Klancer,4,Lecture,75,86,CAS,TSAI,42.35083,-71.10515,,,Thu,12:30:00,13:45:00,Class Closed,20060.0,2023-09-07,2023-12-07,,,,,,,,,,0,75,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,CAS CC221 B1,42.3499108,-71.1065953,Making Modern,Petrovic,0,Discussion,14,16,CAS,114A,42.35083,-71.10515,,,"Tue,Thu",09:30:00,10:45:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,14,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
805,CAS CC221 B2,42.3499108,-71.1065953,Making Modern,Barfield,0,Discussion,16,16,CAS,212,42.35083,-71.10515,,,"Tue,Thu",11:00:00,12:15:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,16,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
806,CAS CC221 B3,42.3499108,-71.1065953,Making Modern,Petrovic,0,Discussion,16,16,CAS,114A,42.35083,-71.10515,,,"Tue,Thu",14:00:00,15:15:00,Class Closed,20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,16,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
807,CAS CC221 C1,42.3499108,-71.1065953,Making Modern,Klancer,0,Discussion,13,16,CAS,114A,42.35083,-71.10515,,,"Mon,Wed,Fri",10:10:00,11:00:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,13,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
808,CAS CC221 C2,42.3499108,-71.1065953,Making Modern,Oller,0,Discussion,16,16,CAS,114A,42.35083,-71.10515,,,"Mon,Wed,Fri",12:20:00,13:10:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,16,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
809,CAS CC221 C3,42.3499108,-71.1065953,Making Modern,Tbd,0,Discussion,0,16,CAS,114B,42.35083,-71.10515,,,"Mon,Wed,Fri",13:25:00,14:15:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,0,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
810,CAS CC221 C4,42.3499108,-71.1065953,Making Modern,Tbd,0,Discussion,0,16,CAS,114B,42.35083,-71.10515,,,"Mon,Wed,Fri",14:30:00,15:20:00,Class Closed,20060.0,2023-09-06,2023-12-11,,,,,,,,,,0,0,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
811,CAS CC320 A1,42.3499108,-71.1065953,X-Multi Core,Tabatabai,4,Independent,Cancelled,Cancelled,,,,,,,Wed,14:30:00,17:15:00,Prereq: CC 101 or LZ 381 or consent of instructor,20060.0,2023-09-06,2023-12-06,,,,,,,,,,Cancelled,Cancelled,,CC,725 Commonwealth Avenue,
812,CAS CC320 A2,42.3499108,-71.1065953,X-Multi Core,Klein,4,Independent,16,16,CAS,212,42.35083,-71.10515,,,"Tue,Thu",14:00:00,15:15:00,"Prereq: CC 102 or consent of instructor, Class Closed",20060.0,2023-09-05,2023-12-12,,,,,,,,,,0,16,,CC,725 Commonwealth Avenue,685-725 Commonwealth Avenue
813,CAS CG111 A1,,,Beg Mod Grk 1,Polychroniou,4,Independent,20,20,CAS,323A,42.35083,-71.10515,,,"Mon,Wed,Fri",13:25:00,14:15:00,Class Full,20204.0,2023-09-06,2023-12-11,,,,,,,,,,1,19,,CG,,685-725 Commonwealth Avenue
814,CAS CG211 A1,,,Inter Mod Grk 1,Polychroniou,4,Independent,6,18,CAS,B25A,42.35083,-71.10515,,,"Mon,Wed,Fri",14:30:00,15:20:00,,20204.0,2023-09-06,2023-12-11,,,,,,,,,,0,6,,CG,,685-725 Commonwealth Avenue
815,CAS CG357 A1,,,Modgrkcltr&Film,Polychroniou,4,Independent,18,18,COM,212,42.34906,-71.10246,,,"Mon,Wed,Fri",12:20:00,13:10:00,"Mts w/CAS CI378, Class Full",20204.0,2023-09-06,2023-12-11,,,,,,,,,,0,18,,CG,,640 Commonwealth Avenue
816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,CAS CH101 AX,42.3489462,-71.0969547,Gen Chem 1,Staff,4,Lecture,0,200,,,,,,,Arranged,,,This is a Waitlist section only.,20205.0,2023-09-05,2023-12-13,,,,,,,,,,0,0,,CH,590 Commonwealth Ave,
818,CAS CH101 AX,42.3489462,-71.0969547,Gen Chem 1,Abrams,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,CH,590 Commonwealth Ave,
819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,CAS CH101 A1,42.3489462,-71.0969547,Gen Chem 1,Abrams,4,Lecture,201,200,SCI,109,42.3489,-71.10016,,,"Mon,Wed,Fri",09:05:00,09:55:00,"Exams Mondays 630-830pm, Class Full",20205.0,2023-09-06,2023-12-11,,,,,,,,,,0,201,,CH,590 Commonwealth Ave,590-596 Commonwealth Avenue
823,CAS CH101 A1,42.3489462,-71.0969547,Gen Chem 1,Chen,,,,,NO,ROOM,,,,,Mon,18:30:00,20:30:00,,,,,,,,,,,,,,0,201,,CH,590 Commonwealth Ave,
824,CAS CH101 A2,42.3489462,-71.0969547,Gen Chem 1,Caushi,4,Lecture,201,200,SCI,109,42.3489,-71.10016,,,"Mon,Wed,Fri",11:15:00,12:05:00,"Exams Mondays 630-830pm, Class Full",20205.0,2023-09-06,2023-12-11,,,,,,,,,,0,201,,CH,590 Commonwealth Ave,590-596 Commonwealth Avenue
825,CAS CH101 A2,42.3489462,-71.0969547,Gen Chem 1,Abrams,,,,,NO,ROOM,,,,,Mon,18:30:00,20:30:00,,,,,,,,,,,,,,0,201,,CH,590 Commonwealth Ave,
826,CAS CH101 A2,42.3489462,-71.0969547,Gen Chem 1,Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,201,,CH,590 Commonwealth Ave,
